,id,zip_code,name,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,pretty_name
48,410,5642,Millinge,,,15162.34,14281.69,,,,13545.45,,4206.35,13445.95,7226.91,10976.67,7944.08,3388.8,9336.18,12442.11,,15662.65,11772.36,10376.05,16125.0,10679.39,39603.96,,,16836.72,12129.84,10524.28,5642 Millinge
49,411,5642,Millinge,,,15162.34,14281.69,,,,13545.45,,4206.35,13445.95,7226.91,10976.67,7944.08,3388.8,9336.18,12442.11,,15662.65,11772.36,10376.05,16125.0,10679.39,39603.96,,,16836.72,12129.84,10524.28,5642 Millinge
50,412,5642,Millinge,,,15162.34,14281.69,,,,13545.45,,4206.35,13445.95,7226.91,10976.67,7944.08,3388.8,9336.18,12442.11,,15662.65,11772.36,10376.05,16125.0,10679.39,39603.96,,,16836.72,12129.84,10524.28,5642 Millinge
51,418,5330,Munkebo,10967.53,8661.75,11640.45,12608.29,10055.87,13901.36,11271.37,,10714.29,9998.21,11463.56,12518.03,10441.8,11721.07,9377.7,12046.95,30920.05,13969.65,10000.76,10380.12,13259.95,9589.73,19904.18,17308.81,16585.07,8367.35,13611.92,11466.08,14950.58,5330 Munkebo
52,421,5250,Odense SV,17350.66,16218.27,18864.06,15492.38,17124.07,17499.32,19287.25,18112.28,17963.64,15377.26,18864.6,17469.34,21083.81,19030.83,18555.78,17309.24,20033.91,19581.16,19272.27,19044.89,20346.4,19324.24,18528.68,22604.27,20719.24,21837.26,21230.58,22284.36,21227.52,5250 Odense SV
53,422,5300,Kerteminde,17198.68,17242.56,15518.63,15761.01,16851.83,21434.1,15537.38,11239.32,16105.37,17264.22,16197.45,14425.77,14232.36,17571.5,15825.36,17152.76,14900.61,12262.74,20371.16,14459.5,11467.44,18213.6,15776.36,21072.51,16908.86,15127.59,17851.44,18529.14,13721.43,5300 Kerteminde
54,423,5300,Kerteminde,17198.68,17242.56,15518.63,15761.01,16851.83,21434.1,15537.38,11239.32,16105.37,17264.22,16197.45,14425.77,14232.36,17571.5,15825.36,17152.76,14900.61,12262.74,20371.16,14459.5,11467.44,18213.6,15776.36,21072.51,16908.86,15127.59,17851.44,18529.14,13721.43,5300 Kerteminde
55,424,5300,Kerteminde,17198.68,17242.56,15518.63,15761.01,16851.83,21434.1,15537.38,11239.32,16105.37,17264.22,16197.45,14425.77,14232.36,17571.5,15825.36,17152.76,14900.61,12262.74,20371.16,14459.5,11467.44,18213.6,15776.36,21072.51,16908.86,15127.59,17851.44,18529.14,13721.43,5300 Kerteminde
56,431,5900,Rudkøbing,9841.57,15765.55,7820.85,9533.07,9461.42,9283.53,10074.08,10357.14,9406.88,6156.73,10181.87,7775.73,9063.48,8244.09,7942.2,10129.74,10075.54,6457.27,11546.25,9589.92,8810.5,14187.87,8227.59,9869.38,9904.09,13530.78,10953.84,10090.65,9529.52,5900 Rudkøbing
57,432,5900,Rudkøbing,9841.57,15765.55,7820.85,9533.07,9461.42,9283.53,10074.08,10357.14,9406.88,6156.73,10181.87,7775.73,9063.48,8244.09,7942.2,10129.74,10075.54,6457.27,11546.25,9589.92,8810.5,14187.87,8227.59,9869.38,9904.09,13530.78,10953.84,10090.65,9529.52,5900 Rudkøbing
58,433,5900,Rudkøbing,9841.57,15765.55,7820.85,9533.07,9461.42,9283.53,10074.08,10357.14,9406.88,6156.73,10181.87,7775.73,9063.48,8244.09,7942.2,10129.74,10075.54,6457.27,11546.25,9589.92,8810.5,14187.87,8227.59,9869.38,9904.09,13530.78,10953.84,10090.65,9529.52,5900 Rudkøbing
59,434,5900,Rudkøbing,9841.57,15765.55,7820.85,9533.07,9461.42,9283.53,10074.08,10357.14,9406.88,6156.73,10181.87,7775.73,9063.48,8244.09,7942.2,10129.74,10075.54,6457.27,11546.25,9589.92,8810.5,14187.87,8227.59,9869.38,9904.09,13530.78,10953.84,10090.65,9529.52,5900 Rudkøbing
60,435,5900,Rudkøbing,9841.57,15765.55,7820.85,9533.07,9461.42,9283.53,10074.08,10357.14,9406.88,6156.73,10181.87,7775.73,9063.48,8244.09,7942.2,10129.74,10075.54,6457.27,11546.25,9589.92,8810.5,14187.87,8227.59,9869.38,9904.09,13530.78,10953.84,10090.65,9529.52,5900 Rudkøbing
61,436,5900,Rudkøbing,9841.57,15765.55,7820.85,9533.07,9461.42,9283.53,10074.08,10357.14,9406.88,6156.73,10181.87,7775.73,9063.48,8244.09,7942.2,10129.74,10075.54,6457.27,11546.25,9589.92,8810.5,14187.87,8227.59,9869.38,9904.09,13530.78,10953.84,10090.65,9529.52,5900 Rudkøbing
62,444,5320,Agedrup,9991.73,15928.27,13373.62,11489.98,12646.83,10482.32,13211.92,13672.67,14336.16,11937.25,9388.89,10576.09,11121.7,10021.96,13915.86,10896.46,14159.51,12811.36,14594.99,14739.43,12654.41,12211.97,14475.16,15019.84,15463.68,19366.2,14956.59,13251.03,13579.54,5320 Agedrup
63,469,5380,Dalby,14400.0,,11990.74,,6470.59,4608.7,,4600.0,,,,,,2865.85,,,,8260.87,7954.55,,3178.81,8176.27,,,9851.85,1923.08,7339.73,,5555.56,5380 Dalby
64,473,5631,Ebberup,14923.7,,9225.87,15475.11,10766.44,4744.53,10135.14,19277.11,11247.02,18704.17,16191.04,11629.28,6504.07,9171.68,17734.86,8027.56,12805.84,,6352.98,20455.36,11626.56,8746.86,9005.45,12516.04,9764.11,11572.35,10790.57,19417.19,8224.3,5631 Ebberup
65,474,5631,Ebberup,14923.7,,9225.87,15475.11,10766.44,4744.53,10135.14,19277.11,11247.02,18704.17,16191.04,11629.28,6504.07,9171.68,17734.86,8027.56,12805.84,,6352.98,20455.36,11626.56,8746.86,9005.45,12516.04,9764.11,11572.35,10790.57,19417.19,8224.3,5631 Ebberup
